"item","redirTarget","wd"
"http://dbpedia.org/resource/Level-set_method","http://dbpedia.org/resource/Level-set_method","http://www.wikidata.org/entity/Q1751397"
"http://dbpedia.org/resource/Statistical_time-division_multiplexing","http://dbpedia.org/resource/Statistical_time-division_multiplexing","http://www.wikidata.org/entity/Q5978010"
"http://dbpedia.org/resource/Cache_prefetching","http://dbpedia.org/resource/Cache_prefetching","http://www.wikidata.org/entity/Q28455645"
"http://dbpedia.org/resource/Carrier-sense_multiple_access","http://dbpedia.org/resource/Carrier-sense_multiple_access","http://www.wikidata.org/entity/Q1045106"
"http://dbpedia.org/resource/Interferometric_synthetic-aperture_radar","http://dbpedia.org/resource/Interferometric_synthetic-aperture_radar","http://www.wikidata.org/entity/Q1666056"
"http://dbpedia.org/resource/Inverse_synthetic-aperture_radar","http://dbpedia.org/resource/Inverse_synthetic-aperture_radar","http://www.wikidata.org/entity/Q6060432"
"http://dbpedia.org/resource/Pulse-amplitude_modulation","http://dbpedia.org/resource/Pulse-amplitude_modulation","http://www.wikidata.org/entity/Q186130"
"http://dbpedia.org/resource/Natural-language_processing","http://dbpedia.org/resource/Natural_language_processing","http://www.wikidata.org/entity/Q30642"
"http://dbpedia.org/resource/Single-carrier_FDMA","http://dbpedia.org/resource/Single-carrier_FDMA","http://www.wikidata.org/entity/Q596116"
"http://dbpedia.org/resource/Glossary_of_graph_theory_terms","http://dbpedia.org/resource/Glossary_of_graph_theory","http://www.wikidata.org/entity/Q166507"
"http://dbpedia.org/resource/Natural-language_user_interface","http://dbpedia.org/resource/Natural-language_user_interface","http://www.wikidata.org/entity/Q3816772"
"http://dbpedia.org/resource/Two-dimensional_conformal_field_theory","http://dbpedia.org/resource/Two-dimensional_conformal_field_theory","http://www.wikidata.org/entity/Q28456139"
"http://dbpedia.org/resource/Multi-hop_routing","http://dbpedia.org/resource/Multi-hop_routing","http://www.wikidata.org/entity/Q30688409"
