t	dbpedia
https://cso.kmi.open.ac.uk/topics/natural_language_processing_systems	http://dbpedia.org/resource/Natural-language_processing
https://cso.kmi.open.ac.uk/topics/natural_language_processing	http://dbpedia.org/resource/Natural-language_processing
https://cso.kmi.open.ac.uk/topics/natural_language_interfaces	http://dbpedia.org/resource/Natural-language_user_interface
https://cso.kmi.open.ac.uk/topics/multi-hop_relay_networks	http://dbpedia.org/resource/Multi-hop_routing
https://cso.kmi.open.ac.uk/topics/multi-hop_relay	http://dbpedia.org/resource/Multi-hop_routing
https://cso.kmi.open.ac.uk/topics/carrier_sense_multiple_access	http://dbpedia.org/resource/Carrier-sense_multiple_access
https://cso.kmi.open.ac.uk/topics/multihop_wireless_networks	http://dbpedia.org/resource/Multi-hop_routing
https://cso.kmi.open.ac.uk/topics/multihop_wireless_network	http://dbpedia.org/resource/Multi-hop_routing
https://cso.kmi.open.ac.uk/topics/multi-hop_wireless_networks	http://dbpedia.org/resource/Multi-hop_routing
https://cso.kmi.open.ac.uk/topics/multihop_networks	http://dbpedia.org/resource/Multi-hop_routing
https://cso.kmi.open.ac.uk/topics/multi-hop_networks	http://dbpedia.org/resource/Multi-hop_routing
https://cso.kmi.open.ac.uk/topics/multihop_transmission	http://dbpedia.org/resource/Multi-hop_routing
https://cso.kmi.open.ac.uk/topics/carrier_sense_multiple_access_with_collision_avoid	http://dbpedia.org/resource/Carrier-sense_multiple_access
https://cso.kmi.open.ac.uk/topics/sc-fdma	http://dbpedia.org/resource/Single-carrier_FDMA
https://cso.kmi.open.ac.uk/topics/multi-hop_routing	http://dbpedia.org/resource/Multi-hop_routing
https://cso.kmi.open.ac.uk/topics/multi-hop_wireless_mesh_networks	http://dbpedia.org/resource/Multi-hop_routing
https://cso.kmi.open.ac.uk/topics/multihop	http://dbpedia.org/resource/Multi-hop_routing
https://cso.kmi.open.ac.uk/topics/multi-hop	http://dbpedia.org/resource/Multi-hop_routing
https://cso.kmi.open.ac.uk/topics/frequency-domain_equalization	http://dbpedia.org/resource/Single-carrier_FDMA
https://cso.kmi.open.ac.uk/topics/fusion_rules	http://dbpedia.org/resource/Two-dimensional_conformal_field_theory
https://cso.kmi.open.ac.uk/topics/pulse_amplitude_modulation	http://dbpedia.org/resource/Pulse-amplitude_modulation
https://cso.kmi.open.ac.uk/topics/inverse_synthetic_aperture_radar	http://dbpedia.org/resource/Inverse_synthetic-aperture_radar
https://cso.kmi.open.ac.uk/topics/inverse_synthetic_aperture_radar_%28isar%29	http://dbpedia.org/resource/Inverse_synthetic-aperture_radar
https://cso.kmi.open.ac.uk/topics/insar	http://dbpedia.org/resource/Interferometric_synthetic-aperture_radar
https://cso.kmi.open.ac.uk/topics/prefetching	http://dbpedia.org/resource/Cache_prefetching
https://cso.kmi.open.ac.uk/topics/prefetches	http://dbpedia.org/resource/Cache_prefetching
https://cso.kmi.open.ac.uk/topics/level-set_method	http://dbpedia.org/resource/Level-set_method
https://cso.kmi.open.ac.uk/topics/level_set_method	http://dbpedia.org/resource/Level-set_method
https://cso.kmi.open.ac.uk/topics/statistical_multiplexing	http://dbpedia.org/resource/Statistical_time-division_multiplexing
https://cso.kmi.open.ac.uk/topics/induced_subgraphs	http://dbpedia.org/resource/Glossary_of_graph_theory_terms
https://cso.kmi.open.ac.uk/topics/weighted_graph	http://dbpedia.org/resource/Glossary_of_graph_theory_terms
