s	o
https://cso.kmi.open.ac.uk/topics/computer_science	http://dbpedia.org/resource/Computer_science
https://cso.kmi.open.ac.uk/topics/computer_science_curricula	http://dbpedia.org/resource/Computer_science
https://cso.kmi.open.ac.uk/topics/computer_science_education	http://dbpedia.org/resource/Computer_science
https://cso.kmi.open.ac.uk/topics/introductory_computer_science	http://dbpedia.org/resource/Computer_science
https://cso.kmi.open.ac.uk/topics/computer_science_course	http://dbpedia.org/resource/Computer_science
https://cso.kmi.open.ac.uk/topics/computer_science	http://www.wikidata.org/entity/Q21198
https://cso.kmi.open.ac.uk/topics/computer_science_curricula	http://www.wikidata.org/entity/Q21198
https://cso.kmi.open.ac.uk/topics/computer_science_education	http://www.wikidata.org/entity/Q21198
https://cso.kmi.open.ac.uk/topics/introductory_computer_science	http://www.wikidata.org/entity/Q21198
https://cso.kmi.open.ac.uk/topics/computer_science_course	http://www.wikidata.org/entity/Q21198
https://cso.kmi.open.ac.uk/topics/computer_science	http://rdf.freebase.com/ns/m.01mkq
https://cso.kmi.open.ac.uk/topics/computer_science_curricula	http://rdf.freebase.com/ns/m.01mkq
https://cso.kmi.open.ac.uk/topics/computer_science_education	http://rdf.freebase.com/ns/m.01mkq
https://cso.kmi.open.ac.uk/topics/introductory_computer_science	http://rdf.freebase.com/ns/m.01mkq
https://cso.kmi.open.ac.uk/topics/computer_science_course	http://rdf.freebase.com/ns/m.01mkq
https://cso.kmi.open.ac.uk/topics/subtraction_technique	http://dbpedia.org/resource/Subtraction
https://cso.kmi.open.ac.uk/topics/image_subtraction	http://dbpedia.org/resource/Subtraction
https://cso.kmi.open.ac.uk/topics/subtraction_technique	http://www.wikidata.org/entity/Q40754
https://cso.kmi.open.ac.uk/topics/image_subtraction	http://www.wikidata.org/entity/Q40754
https://cso.kmi.open.ac.uk/topics/subtraction_technique	http://rdf.freebase.com/ns/m.0jt6w
https://cso.kmi.open.ac.uk/topics/image_subtraction	http://rdf.freebase.com/ns/m.0jt6w
https://cso.kmi.open.ac.uk/topics/manifold_learning	http://dbpedia.org/resource/Nonlinear_dimensionality_reduction
https://cso.kmi.open.ac.uk/topics/manifold_learning_algorithm	http://dbpedia.org/resource/Nonlinear_dimensionality_reduction
https://cso.kmi.open.ac.uk/topics/nonlinear_dimensionality_reduction	http://dbpedia.org/resource/Nonlinear_dimensionality_reduction
https://cso.kmi.open.ac.uk/topics/locally_linear_embedding	http://dbpedia.org/resource/Nonlinear_dimensionality_reduction
https://cso.kmi.open.ac.uk/topics/manifold_learning	http://www.wikidata.org/entity/Q7049464
https://cso.kmi.open.ac.uk/topics/manifold_learning_algorithm	http://www.wikidata.org/entity/Q7049464
https://cso.kmi.open.ac.uk/topics/nonlinear_dimensionality_reduction	http://www.wikidata.org/entity/Q7049464
https://cso.kmi.open.ac.uk/topics/locally_linear_embedding	http://www.wikidata.org/entity/Q7049464
https://cso.kmi.open.ac.uk/topics/manifold_learning	http://rdf.freebase.com/ns/m.01sz4s
https://cso.kmi.open.ac.uk/topics/manifold_learning_algorithm	http://rdf.freebase.com/ns/m.01sz4s
https://cso.kmi.open.ac.uk/topics/nonlinear_dimensionality_reduction	http://rdf.freebase.com/ns/m.01sz4s
https://cso.kmi.open.ac.uk/topics/locally_linear_embedding	http://rdf.freebase.com/ns/m.01sz4s
https://cso.kmi.open.ac.uk/topics/dimensionality_reduction	http://dbpedia.org/resource/Dimensionality_reduction
https://cso.kmi.open.ac.uk/topics/dimensionality_reduction_algorithms	http://dbpedia.org/resource/Dimensionality_reduction
https://cso.kmi.open.ac.uk/topics/dimensionality_reduction_method	http://dbpedia.org/resource/Dimensionality_reduction
https://cso.kmi.open.ac.uk/topics/dimensionality_reduction_techniques	http://dbpedia.org/resource/Dimensionality_reduction
https://cso.kmi.open.ac.uk/topics/dimensionality_reduction	http://www.wikidata.org/entity/Q16000077
https://cso.kmi.open.ac.uk/topics/dimensionality_reduction_algorithms	http://www.wikidata.org/entity/Q16000077
https://cso.kmi.open.ac.uk/topics/dimensionality_reduction_method	http://www.wikidata.org/entity/Q16000077
https://cso.kmi.open.ac.uk/topics/dimensionality_reduction_techniques	http://www.wikidata.org/entity/Q16000077
https://cso.kmi.open.ac.uk/topics/dimensionality_reduction	http://rdf.freebase.com/ns/m.02s1_8
https://cso.kmi.open.ac.uk/topics/dimensionality_reduction_algorithms	http://rdf.freebase.com/ns/m.02s1_8
https://cso.kmi.open.ac.uk/topics/dimensionality_reduction_method	http://rdf.freebase.com/ns/m.02s1_8
https://cso.kmi.open.ac.uk/topics/dimensionality_reduction_techniques	http://rdf.freebase.com/ns/m.02s1_8
https://cso.kmi.open.ac.uk/topics/small_sample_size_problems	http://dbpedia.org/resource/Sample_size_determination
https://cso.kmi.open.ac.uk/topics/small_sample_size_problem	http://dbpedia.org/resource/Sample_size_determination
https://cso.kmi.open.ac.uk/topics/small_sample_size	http://dbpedia.org/resource/Sample_size_determination
https://cso.kmi.open.ac.uk/topics/small_sample_size_problems	http://www.wikidata.org/entity/Q2564360
https://cso.kmi.open.ac.uk/topics/small_sample_size_problem	http://www.wikidata.org/entity/Q2564360
https://cso.kmi.open.ac.uk/topics/small_sample_size	http://www.wikidata.org/entity/Q2564360
https://cso.kmi.open.ac.uk/topics/small_sample_size_problems	http://rdf.freebase.com/ns/m.025r_1d
https://cso.kmi.open.ac.uk/topics/small_sample_size_problem	http://rdf.freebase.com/ns/m.025r_1d
https://cso.kmi.open.ac.uk/topics/small_sample_size	http://rdf.freebase.com/ns/m.025r_1d
https://cso.kmi.open.ac.uk/topics/support_vector_machine	http://dbpedia.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29	http://dbpedia.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29	http://dbpedia.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	http://dbpedia.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/support_vector_machines	http://dbpedia.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	http://dbpedia.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	http://dbpedia.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	http://dbpedia.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/svm%28support_vector_machine%29	http://dbpedia.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/support_vector_machine	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/support_vector_machines	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/svm%28support_vector_machine%29	http://www.wikidata.org/entity/Q282453
https://cso.kmi.open.ac.uk/topics/support_vector_machine	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svms%29	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/support_vector_machine_%28svm%29	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/support_vector_machines	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machines	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/least_squares_support_vector_machine	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/least_square_support_vector_machine	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/svm%28support_vector_machine%29	http://rdf.freebase.com/ns/m.0hc2f
https://cso.kmi.open.ac.uk/topics/support_vector_machine	http://yago-knowledge.org/resource/Support_vector_machine
https://cso.kmi.open.ac.uk/topics/support_vector_machines_%28svms%29	http://yago-knowledge.org/resource/Support_vector_machine
