a	b
https://cso.kmi.open.ac.uk/topics/hardware	https://cso.kmi.open.ac.uk/topics/computer_hardware
https://cso.kmi.open.ac.uk/topics/computer_operating_systems	https://cso.kmi.open.ac.uk/topics/operating_system
https://cso.kmi.open.ac.uk/topics/computer_operating_systems	https://cso.kmi.open.ac.uk/topics/operating_systems
https://cso.kmi.open.ac.uk/topics/computer_networks	https://cso.kmi.open.ac.uk/topics/computer_network
https://cso.kmi.open.ac.uk/topics/computer_networks	https://cso.kmi.open.ac.uk/topics/computer_communication_networks
https://cso.kmi.open.ac.uk/topics/bioinformatics	https://cso.kmi.open.ac.uk/topics/medical_informatics
https://cso.kmi.open.ac.uk/topics/human_computer_interaction	https://cso.kmi.open.ac.uk/topics/human-computer_interaction
https://cso.kmi.open.ac.uk/topics/human-computer_interaction	https://cso.kmi.open.ac.uk/topics/human_computer_interaction
https://cso.kmi.open.ac.uk/topics/computer_aided_design	https://cso.kmi.open.ac.uk/topics/computer-aided_design
https://cso.kmi.open.ac.uk/topics/computer_aided_design	https://cso.kmi.open.ac.uk/topics/cad
https://cso.kmi.open.ac.uk/topics/computer_aided_design	https://cso.kmi.open.ac.uk/topics/computer_aided_design_%28cad%29
https://cso.kmi.open.ac.uk/topics/computer-aided_design	https://cso.kmi.open.ac.uk/topics/computer_aided_design
https://cso.kmi.open.ac.uk/topics/computer-aided_design	https://cso.kmi.open.ac.uk/topics/cad
https://cso.kmi.open.ac.uk/topics/computer-aided_design	https://cso.kmi.open.ac.uk/topics/computer_aided_design_%28cad%29
https://cso.kmi.open.ac.uk/topics/computer_system	https://cso.kmi.open.ac.uk/topics/computer_systems
https://cso.kmi.open.ac.uk/topics/computer_systems	https://cso.kmi.open.ac.uk/topics/computer_system
https://cso.kmi.open.ac.uk/topics/computer_hardware	https://cso.kmi.open.ac.uk/topics/hardware
https://cso.kmi.open.ac.uk/topics/computer_network	https://cso.kmi.open.ac.uk/topics/computer_networks
https://cso.kmi.open.ac.uk/topics/computer_network	https://cso.kmi.open.ac.uk/topics/computer_communication_networks
https://cso.kmi.open.ac.uk/topics/computer_communication_networks	https://cso.kmi.open.ac.uk/topics/computer_networks
https://cso.kmi.open.ac.uk/topics/computer_communication_networks	https://cso.kmi.open.ac.uk/topics/computer_network
https://cso.kmi.open.ac.uk/topics/operating_system	https://cso.kmi.open.ac.uk/topics/computer_operating_systems
https://cso.kmi.open.ac.uk/topics/operating_system	https://cso.kmi.open.ac.uk/topics/operating_systems
https://cso.kmi.open.ac.uk/topics/operating_systems	https://cso.kmi.open.ac.uk/topics/computer_operating_systems
https://cso.kmi.open.ac.uk/topics/operating_systems	https://cso.kmi.open.ac.uk/topics/operating_system
https://cso.kmi.open.ac.uk/topics/cad	https://cso.kmi.open.ac.uk/topics/computer_aided_design
https://cso.kmi.open.ac.uk/topics/cad	https://cso.kmi.open.ac.uk/topics/computer-aided_design
https://cso.kmi.open.ac.uk/topics/cad	https://cso.kmi.open.ac.uk/topics/computer_aided_design_%28cad%29
https://cso.kmi.open.ac.uk/topics/computer_aided_design_%28cad%29	https://cso.kmi.open.ac.uk/topics/computer_aided_design
https://cso.kmi.open.ac.uk/topics/computer_aided_design_%28cad%29	https://cso.kmi.open.ac.uk/topics/computer-aided_design
https://cso.kmi.open.ac.uk/topics/computer_aided_design_%28cad%29	https://cso.kmi.open.ac.uk/topics/cad
https://cso.kmi.open.ac.uk/topics/medical_informatics	https://cso.kmi.open.ac.uk/topics/bioinformatics
https://cso.kmi.open.ac.uk/topics/sensors	https://cso.kmi.open.ac.uk/topics/sensor
https://cso.kmi.open.ac.uk/topics/nonrigid_registration	https://cso.kmi.open.ac.uk/topics/non-rigid_registration
https://cso.kmi.open.ac.uk/topics/non-rigid_registration	https://cso.kmi.open.ac.uk/topics/nonrigid_registration
https://cso.kmi.open.ac.uk/topics/locality_preserving_projections	https://cso.kmi.open.ac.uk/topics/locality_preserving_projection
https://cso.kmi.open.ac.uk/topics/locality_preserving_projection	https://cso.kmi.open.ac.uk/topics/locality_preserving_projections
https://cso.kmi.open.ac.uk/topics/small_sample_size_problems	https://cso.kmi.open.ac.uk/topics/small_sample_size_problem
https://cso.kmi.open.ac.uk/topics/small_sample_size_problem	https://cso.kmi.open.ac.uk/topics/small_sample_size_problems
https://cso.kmi.open.ac.uk/topics/random_projections	https://cso.kmi.open.ac.uk/topics/random_projection
https://cso.kmi.open.ac.uk/topics/random_projection	https://cso.kmi.open.ac.uk/topics/random_projections
https://cso.kmi.open.ac.uk/topics/high_dimensional_data	https://cso.kmi.open.ac.uk/topics/high-dimensional_data
