cluster,verdict_1,verdict_2,verdict_3,comment_2,comment_3,wrong_count,good_count,is_wrong_one,is_wrong_majority,is_wrong_all
56,2,1,2,,,0,3,False,False,False
1792,-2,-2,2,"wireless communication is a type of communication, that unites wireless signals, devices, technologies, etc",,2,1,True,True,False
1658,-2,-2,-1,,,3,0,True,True,True
565,-2,2,1,,,1,2,True,False,False
1927,-2,-2,-2,,,3,0,True,True,True
2058,-2,-2,-2,,Possibly out of scope.,3,0,True,True,True
2196,-2,-2,-2,,,3,0,True,True,True
1464,-2,-2,-2,,,3,0,True,True,True
953,-2,1,2,,,1,2,True,False,False
645,-2,-1,-2,"we kinda have not only backprop , so it's a subset",,3,0,True,True,True
2211,-2,-2,1,,,2,1,True,True,False
186,-2,-2,-2,,A lot of conflated terms here.,3,0,True,True,True
29,-2,-2,-1,,,3,0,True,True,True
203,-2,-2,-2,,,3,0,True,True,True
2103,-2,-2,-2,,,3,0,True,True,True
2203,-2,-1,-2,,,3,0,True,True,True
133,-2,-2,-2,,,3,0,True,True,True
296,-2,-2,-1,,,3,0,True,True,True
764,2,-1,2,"smart env - mostly about devices, sensors, etc.",,1,2,True,False,False
1206,-2,-2,-2,,,3,0,True,True,True
665,-2,-1,1,,,2,1,True,True,False
1926,-2,-2,-2,,,3,0,True,True,True
1838,2,2,1,,,0,3,False,False,False
635,-2,-2,2,,,2,1,True,True,False
842,-2,2,1,,,1,2,True,False,False
1760,2,2,2,,,0,3,False,False,False
832,-2,-2,-1,,,3,0,True,True,True
1003,2,2,2,,,0,3,False,False,False
1800,-2,-2,1,,,2,1,True,True,False
546,-2,-2,-2,,,3,0,True,True,True
300,-2,-1,-1,,,3,0,True,True,True
1488,-2,-2,2,,,2,1,True,True,False
1130,-2,-2,1,,,2,1,True,True,False
1952,-2,-2,-2,,,3,0,True,True,True
1566,-2,-2,-2,,,3,0,True,True,True
1412,-2,-2,1,,,2,1,True,True,False
2187,-2,-2,2,,Out of scope.,2,1,True,True,False
416,-2,-2,-2,,,3,0,True,True,True
651,2,2,2,,,0,3,False,False,False
2170,1,-2,-1,,"Genetics, out of scope.",2,1,True,True,False
1933,-2,-2,-2,,"There is some conflation of ""protocol"" and ""system"" here.",3,0,True,True,True
40,-2,-1,1,,,2,1,True,True,False
1576,-2,-2,-1,"detection, embedding and extraction are parts of algos\techniques\schemes",,3,0,True,True,True
39,-2,-2,-1,,,3,0,True,True,True
1197,2,2,2,,,0,3,False,False,False
704,-2,-2,-2,,The problem is not the method to solve it.,3,0,True,True,True
